regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;2021-07-01;26;210147125;18622304;65163;520095;2029;16858632;1180443;
Brasil;;;76;;;;2021-07-02;26;210147125;18687469;65165;521952;1857;16931272;1170937;
Brasil;;;76;;;;2021-07-03;26;210147125;18742025;54556;523587;1635;16989351;1176166;
Brasil;;;76;;;;2021-07-04;27;210147125;18769808;27783;524417;830;17033808;1184630;
Brasil;;;76;;;;2021-07-05;27;210147125;18792511;22703;525112;695;17082876;1162515;
Brasil;;;76;;;;2021-07-06;27;210147125;18855015;62504;526892;1780;17151673;1115726;
Brasil;;;76;;;;2021-07-07;27;210147125;18909037;54022;528540;1648;17262646;1065477;
Brasil;;;76;;;;2021-07-08;27;210147125;18962762;53725;530179;1639;17352670;1027827;
Brasil;;;76;;;;2021-07-09;27;210147125;19020499;57737;531688;1509;17422854;1009729;
Brasil;;;76;;;;2021-07-10;27;210147125;19069003;48504;532893;1205;17479277;1009534;
Brasil;;;76;;;;2021-07-11;28;210147125;19089940;20937;533488;595;17530369;1005741;
Brasil;;;76;;;;2021-07-12;28;210147125;19106971;17031;534233;745;17588312;968140;
Brasil;;;76;;;;2021-07-13;28;210147125;19151993;45022;535838;1605;17666654;906084;
Brasil;;;76;;;;2021-07-14;28;210147125;19209729;57736;537394;1556;17770617;845538;
Brasil;;;76;;;;2021-07-15;28;210147125;19262518;52789;538942;1548;17858633;813702;
Brasil;;;76;;;;2021-07-16;28;210147125;19308109;45591;540398;1456;17917189;806387;
Brasil;;;76;;;;2021-07-17;28;210147125;19342448;34339;541266;868;17951699;816012;
Brasil;;;76;;;;2021-07-18;29;210147125;19376574;34126;542214;948;17983275;817907;
Brasil;;;76;;;;2021-07-19;29;210147125;19391845;15271;542756;542;18023512;810848;
Brasil;;;76;;;;2021-07-20;29;210147125;19419437;27592;544180;1424;18067080;782009;
Brasil;;;76;;;;2021-07-21;29;210147125;19473954;54517;545604;1424;18124621;750636;
Brasil;;;76;;;;2021-07-22;29;210147125;19523711;49757;547016;1412;18206173;722177;
Brasil;;;76;;;;2021-07-23;29;210147125;19632443;108732;548340;1324;18331462;752641;
Brasil;;;76;;;;2021-07-24;29;210147125;19670534;38091;549448;1108;18340760;780326;
Brasil;;;76;;;;2021-07-25;30;210147125;19688663;18129;549924;476;18349436;789303;
Brasil;;;76;;;;2021-07-26;30;210147125;19707662;18999;550502;578;18398567;758593;
Brasil;;;76;;;;2021-07-27;30;210147125;19749073;41411;551835;1333;18466822;730416;
Brasil;;;76;;;;2021-07-28;30;210147125;19797086;48013;553179;1344;18530306;713601;
Brasil;;;76;;;;2021-07-29;30;210147125;19839369;42283;554497;1318;18569991;714881;
Brasil;;;76;;;;2021-07-30;30;210147125;19880273;40904;555460;963;18595380;729433;
Brasil;;;76;;;;2021-07-31;30;210147125;19917855;37582;556370;910;18619542;741943;
Brasil;;;76;;;;2021-08-01;31;210147125;19938358;20503;556834;464;18645993;735531;
Brasil;;;76;;;;2021-08-02;31;210147125;19953501;15143;557223;389;18687203;709075;
Brasil;;;76;;;;2021-08-03;31;210147125;19985817;32316;558432;1209;18746865;680520;
Brasil;;;76;;;;2021-08-04;31;210147125;20026533;40716;559607;1175;18800884;666042;